16:09:11.933 [main] INFO  c.i.log.stack.LogStackApplication 50 - Starting LogStackApplication on ITCNSHG-XN0083 with PID 91378 (/Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot/target/classes started by brzha12 in /Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot)
16:09:11.939 [main] INFO  c.i.log.stack.LogStackApplication 675 - No active profile set, falling back to default profiles: default
16:09:13.242 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
16:09:13.246 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
16:09:13.307 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 32ms. Found 0 repository interfaces.
16:09:14.924 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 90 - Tomcat initialized with port(s): 8888 (http)
16:09:14.946 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8888"]
16:09:14.965 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
16:09:14.966 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.17]
16:09:15.101 [main] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring embedded WebApplicationContext
16:09:15.101 [main] INFO  o.s.web.context.ContextLoader 296 - Root WebApplicationContext: initialization completed in 3085 ms
16:09:16.142 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 171 - Initializing ExecutorService
16:09:16.143 [main] INFO  o.s.s.c.ThreadPoolTaskExecutor 171 - Initializing ExecutorService 'mvcTaskExecutor'
16:09:16.712 [main] INFO  o.s.s.c.ThreadPoolTaskScheduler 171 - Initializing ExecutorService 'taskScheduler'
16:09:16.737 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver 59 - Exposing 15 endpoint(s) beneath base path '/actuator'
16:09:16.792 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8888"]
16:09:16.797 [imooc-qinyi-1] INFO  c.i.l.s.scheduled.ImoocerReportTask 34 - start to generate XSSFWorkbook
16:09:16.873 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 204 - Tomcat started on port(s): 8888 (http) with context path '/api'
16:09:16.876 [main] INFO  c.i.log.stack.LogStackApplication 59 - Started LogStackApplication in 5.472 seconds (JVM running for 7.146)
16:09:17.346 [RMI TCP Connection(3)-172.16.2.28] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
16:09:17.346 [RMI TCP Connection(3)-172.16.2.28] INFO  o.s.web.servlet.DispatcherServlet 524 - Initializing Servlet 'dispatcherServlet'
16:09:17.360 [RMI TCP Connection(3)-172.16.2.28] INFO  o.s.web.servlet.DispatcherServlet 546 - Completed initialization in 13 ms
16:09:20.968 [Thread-15] INFO  o.s.s.c.ThreadPoolTaskScheduler 208 - Shutting down ExecutorService 'taskScheduler'
16:09:20.971 [Thread-15] INFO  o.s.s.c.ThreadPoolTaskExecutor 208 - Shutting down ExecutorService 'mvcTaskExecutor'
16:22:46.013 [main] INFO  c.i.log.stack.LogStackApplication 50 - Starting LogStackApplication on ITCNSHG-XN0083 with PID 94044 (/Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot/target/classes started by brzha12 in /Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot)
16:22:46.018 [main] INFO  c.i.log.stack.LogStackApplication 675 - No active profile set, falling back to default profiles: default
16:22:47.019 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
16:22:47.024 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
16:22:47.076 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 28ms. Found 0 repository interfaces.
16:22:47.806 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 90 - Tomcat initialized with port(s): 8888 (http)
16:22:47.822 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8888"]
16:22:47.829 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
16:22:47.830 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.17]
16:22:47.915 [main] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring embedded WebApplicationContext
16:22:47.915 [main] INFO  o.s.web.context.ContextLoader 296 - Root WebApplicationContext: initialization completed in 1853 ms
16:22:48.778 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver 59 - Exposing 15 endpoint(s) beneath base path '/actuator'
16:22:48.850 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8888"]
16:22:48.906 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 204 - Tomcat started on port(s): 8888 (http) with context path '/api'
16:22:48.909 [main] INFO  c.i.log.stack.LogStackApplication 59 - Started LogStackApplication in 3.265 seconds (JVM running for 3.984)
16:22:49.364 [RMI TCP Connection(2)-172.16.2.28] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
16:22:49.364 [RMI TCP Connection(2)-172.16.2.28] INFO  o.s.web.servlet.DispatcherServlet 524 - Initializing Servlet 'dispatcherServlet'
16:22:49.372 [RMI TCP Connection(2)-172.16.2.28] INFO  o.s.web.servlet.DispatcherServlet 546 - Completed initialization in 7 ms
16:27:25.522 [main] INFO  c.i.log.stack.LogStackApplication 50 - Starting LogStackApplication on ITCNSHG-XN0083 with PID 94962 (/Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot/target/classes started by brzha12 in /Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot)
16:27:25.525 [main] INFO  c.i.log.stack.LogStackApplication 675 - No active profile set, falling back to default profiles: default
16:27:26.283 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
16:27:26.286 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
16:27:26.317 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 15ms. Found 0 repository interfaces.
16:27:27.090 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 90 - Tomcat initialized with port(s): 8888 (http)
16:27:27.105 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8888"]
16:27:27.113 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
