15:08:09.795 [main] INFO  c.i.log.stack.LogStackApplication 50 - Starting LogStackApplication on ITCNSHG-XN0083 with PID 10210 (/Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot/target/classes started by brzha12 in /Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot)
15:08:09.806 [main] INFO  c.i.log.stack.LogStackApplication 675 - No active profile set, falling back to default profiles: default
15:08:10.951 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
15:08:10.954 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
15:08:11.002 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 24ms. Found 0 repository interfaces.
15:08:11.795 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 90 - Tomcat initialized with port(s): 8888 (http)
15:08:11.814 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8888"]
15:08:11.826 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
15:08:11.826 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.17]
15:08:11.938 [main] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring embedded WebApplicationContext
15:08:11.939 [main] INFO  o.s.web.context.ContextLoader 296 - Root WebApplicationContext: initialization completed in 2064 ms
15:08:13.209 [main] INFO  o.s.b.a.e.web.EndpointLinksResolver 59 - Exposing 15 endpoint(s) beneath base path '/actuator'
15:08:13.261 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Starting ProtocolHandler ["http-nio-8888"]
15:08:13.317 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 204 - Tomcat started on port(s): 8888 (http) with context path '/api'
15:08:13.321 [main] INFO  c.i.log.stack.LogStackApplication 59 - Started LogStackApplication in 4.092 seconds (JVM running for 4.791)
15:08:13.533 [RMI TCP Connection(2)-192.168.1.2] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
15:08:13.534 [RMI TCP Connection(2)-192.168.1.2] INFO  o.s.web.servlet.DispatcherServlet 524 - Initializing Servlet 'dispatcherServlet'
15:08:13.544 [RMI TCP Connection(2)-192.168.1.2] INFO  o.s.web.servlet.DispatcherServlet 546 - Completed initialization in 10 ms
15:12:06.807 [main] INFO  c.i.log.stack.LogStackApplication 50 - Starting LogStackApplication on ITCNSHG-XN0083 with PID 10977 (/Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot/target/classes started by brzha12 in /Users/brzha12/brzha_imooc/imooc_log_stack/display/log-stack-springboot)
15:12:06.812 [main] INFO  c.i.log.stack.LogStackApplication 675 - No active profile set, falling back to default profiles: default
15:12:07.740 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 244 - Multiple Spring Data modules found, entering strict repository configuration mode!
15:12:07.742 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 126 - Bootstrapping Spring Data repositories in DEFAULT mode.
15:12:07.780 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate 182 - Finished Spring Data repository scanning in 21ms. Found 0 repository interfaces.
15:12:08.459 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer 90 - Tomcat initialized with port(s): 8888 (http)
15:12:08.472 [main] INFO  o.a.coyote.http11.Http11NioProtocol 173 - Initializing ProtocolHandler ["http-nio-8888"]
15:12:08.480 [main] INFO  o.a.catalina.core.StandardService 173 - Starting service [Tomcat]
15:12:08.480 [main] INFO  o.a.catalina.core.StandardEngine 173 - Starting Servlet engine: [Apache Tomcat/9.0.17]
15:12:08.567 [main] INFO  o.a.c.c.C.[.[localhost].[/api] 173 - Initializing Spring embedded WebApplicationContext
